Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
1,100,1276-1007-1-ND,CAP CER 0.1UF 50V Y5V 0805,,100,0,0.0144,1.44
2,30,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,,30,0,0.0128,0.38
3,30,311-1.20MCRCT-ND,RES SMD 1.2M OHM 1% 1/8W 0805,,30,0,0.0176,0.53
4,30,311-100CRCT-ND,RES SMD 100 OHM 1% 1/8W 0805,,30,0,0.0152,0.46
5,30,1276-3012-1-ND,CAP CER 10UF 10V Y5V 0805,,30,0,0.084,2.52
6,30,311-220KCRCT-ND,RES SMD 220K OHM 1% 1/8W 0805,,30,0,0.0152,0.46
7,25,785-1001-1-ND,MOSFET P-CH 30V 4A SOT23,,25,0,0.2552,6.38
8,30,1276-2412-1-ND,CAP CER 22UF 6.3V 20% X5R 0805,,30,0,0.132,3.96
9,30,311-2.00KCRCT-ND,RES SMD 2K OHM 1% 1/8W 0805,,30,0,0.0152,0.46
10,30,311-4.70KCRCT-ND,RES SMD 4.7K OHM 1% 1/8W 0805,,30,0,0.0152,0.46
11,50,587-1297-1-ND,CAP CER 4.7UF 10V 10% X5R 0805,,50,0,0.069,3.45
12,100,311-470CRCT-ND,RES SMD 470 OHM 1% 1/8W 0805,,100,0,0.0084,0.84
13,20,497-3381-1-ND,DIODE SCHOTTKY 23V 1A SOD323,,20,0,0.301,6.02
14,25,587-1649-1-ND,FIXED IND 4.7UH 1.04A 144 MOHM,,25,0,0.272,6.8
15,10,MCP73831T-2ATI/OTCT-ND,IC CONTROLLR LI-ION 4.2V SOT23-5,,10,0,0.56,5.6
16,5,CWI333-ND,SWITCH SLIDE SPST 8.5A 125V,,5,0,0.83,4.15
17,6,296-21663-1-ND,IC REG BOOST ADJ 1.2A SYNC 10SON,,6,0,2.89,17.34
18,25,455-1719-ND,CONN HEADER PH SIDE 2POS 2MM,,25,0,0.114,2.85
19,30,455-1127-1-ND,CONN TERM CRIMP PH 24-30AWG,,30,0,0.0504,1.51
20,25,455-1165-ND,CONN HOUSING PH 2POS 2MM WHITE,,25,0,0.0584,1.46
21,30,160-1447-1-ND,LED SUPER RED CLR THIN 0603 SMD,,30,0,0.238,7.14
22,50,RMCF0805FT2M00CT-ND,RES SMD 2M OHM 1% 1/8W 0805,,50,0,0.0162,0.81
